Column1;Column2;Column3;Column4;Column5
;Estimate;Std. Error;z value;Pr(>|z|)
(Intercept);0.632373177676222;2.23531216789815;0.282901505551611;0.777252340446752
nps_cluster_1;-0.295183786569926;0.354642773395577;-0.832341185874586;0.405216389452266
nps_cluster_2;-0.796001878633848;0.59287859343153;-1.34260519346239;0.179399847808489
porfolio_cluster_1;-0.908964244064498;0.429791638947173;-2.11489512986134;0.0344388863696986
porfolio_cluster_2;-1.04621857434273;0.50538988940044;-2.07012169472542;0.0384409497548448
porfolio_cluster_3;0.0182570546523375;1.33819439699932;0.0136430511839505;0.989114757782648
porfolio_cluster_4;-0.786375253773465;0.5995608308565;-1.3115854360434;0.189660049657522
fin_cluster_1;1.02589091885315;1.09901274546781;0.933465897537399;0.350579470174249
fin_cluster_2;0.582218250334879;0.591167295320975;0.984862077017914;0.324691823337854
fin_cluster_3;-0.183443159234575;0.491174171355078;-0.373478838939112;0.708792091925243
fin_cluster_4;-5.26818066139418;414.65474767135;-0.0127049809292662;0.989863164580795
fin_cluster_5;8.05376900321702;973.502158381108;0.00827298525625263;0.993399188088147
law;0.0473275045103426;0.862793265207918;0.0548538177322669;0.956254924557125
securities;-1.07833451500983;0.903946352431451;-1.19291870818363;0.232901211604532
strategy;1.02134696348965;0.978019252551937;1.04430149081898;0.29634592335595
Í1_CAR;-1.01341156971497;1.26268113132117;-0.802587085984736;0.422213434982266
Í2_liquidity;-0.0459268814310888;0.164369784597865;-0.279411946322434;0.779928704189176
Í3_liquidity;0.262203817419609;0.230293168374729;1.13856533074813;0.254884495530075
ROA;0.0587476368931735;7.30809638034334;0.00803870581827405;0.99358610981728
TotalLoans_TotalAssets;0.661084522400961;2.14749802244108;0.3078394091602;0.758204532594083
Z_score;15.4947750105887;7.84975810731494;1.97391751424157;0.0483911229255822
gos_sobstv;0.466040352828069;0.491681281287024;0.947850509191977;0.343205562887408
foreign;2.00251494803703;0.643219487027596;3.11326846966488;0.00185027622411486
system;7.24743681550863;241.167574116502;0.0300514563040202;0.976026015484063
A_Shares;16.7645202093152;11.588788427927;1.44661543470029;0.148004660881709
A_bonds;-0.24179771030278;2.5950875465523;-0.0931751649858672;0.92576440401334
A_capitals;-2.09794273706545;7.00540430296987;-0.299474897712334;0.76457772238241
A_loro_loans;-2.16816436310708;6.90509495229157;-0.313994865832735;0.753524938190368
A_fixed_assets;-10.4792018267866;9.11621149407815;-1.14951280294384;0.25034459057803
P_deposits_individuals;-1.5579857511199;1.17177650065162;-1.32959293026743;0.183652428713938
P_corporate_funds;-1.48700020255838;1.42122448246486;-1.0462810209823;0.295431305291776
P_capitals;0.200437571876591;2.19322240304422;0.0913895333179072;0.927183078148625
